data,target
0,3.5803
1,3.5804
2,3.5529
3,3.5304
4,3.4756
5,3.4668
6,3.4955
7,3.5107
8,3.5005
9,3.5259
10,3.5432
11,3.5431
12,3.5107
13,3.5158
14,3.4858
15,3.4808
16,3.4808
17,3.4708
18,3.4409
19,3.5135
20,3.5186
21,3.5615
22,3.5614
23,3.5361
24,3.5212
25,3.5213
26,3.4812
27,3.4638
28,3.4713
29,3.4567
30,3.4568
31,3.4876
32,3.5222
33,3.5476
34,3.5525
35,3.5826
36,3.5519
37,3.5829
38,3.6141
39,3.6524
40,3.6326
41,3.63
42,3.6075
43,3.6101
44,3.6278
45,3.6303
46,3.6101
47,3.6101
48,3.5801
49,3.5751
50,3.5951
51,3.6101
52,3.6101
53,3.6101
54,3.6301
55,3.6551
56,3.6751
57,3.6551
58,3.6526
59,3.6351
60,3.6327
61,3.6452
62,3.6727
63,3.7003
64,3.6752
65,3.6754
66,3.6503
67,3.6253
68,3.6153
69,3.6104
70,3.6103
71,3.6155
72,3.6156
73,3.6156
74,3.5806
75,3.5831
76,3.5857
77,3.5757
78,3.5807
79,3.5508
80,3.5658
81,3.591
82,3.5709
83,3.5409
84,3.5409
85,3.541
86,3.5111
87,3.5161
88,3.5086
89,3.4936
90,3.5461
91,3.5312
92,3.5113
93,3.4813
94,3.4813
95,3.4763
96,3.4865
97,3.474
98,3.4218
99,3.3915
100,3.3515
101,3.3772
102,3.3771
103,3.3716
104,3.3917
105,3.3917
106,3.4151
107,3.4
108,3.37
109,3.36
110,3.355
111,3.35
112,3.305
113,3.275
114,3.2751
115,3.2853
116,3.2678
117,3.2652
118,3.2703
119,3.3311
120,3.3468
121,3.3713
122,3.3714
123,3.3412
124,3.3003
125,3.3168
126,3.3483
127,3.3113
128,3.3011
129,3.2709
130,3.2315
131,3.2265
132,3.1734
133,3.141
134,3.1513
135,3.1507
136,3.1211
137,3.1106
138,3.1006
139,3.1058
140,3.1297
141,3.1383
142,3.0745
143,3.076
144,3.091
145,3.1037
146,3.1071
147,3.119
148,3.1338
149,3.1398
150,3.1397
151,3.1246
152,3.1151
153,3.1037
154,3.1032
155,3.0978
156,3.0967
157,3.067
158,3.0748
159,3.0719
160,3.0726
161,3.0794
162,3.1094
163,3.1279
164,3.1196
165,3.1361
166,3.1451
167,3.1787
168,3.1878
169,3.1689
170,3.1731
171,3.187
172,3.2023
173,3.2149
174,3.2021
175,3.1572
176,3.1423
177,3.1374
178,3.1424
179,3.1375
180,3.1475
181,3.1376
182,3.1377
183,3.1377
184,3.1453
185,3.1291
186,3.108
187,3.0831
188,3.0633
189,3.0882
190,3.0634
191,3.0683
192,3.1332
193,3.1681
194,3.2331
195,3.2679
196,3.2482
197,3.2882
198,3.2932
199,3.2784
200,3.3334
201,3.3736
202,3.3937
203,3.3938
204,3.3589
205,3.3741
206,3.4091
207,3.3993
208,3.4343
209,3.4193
210,3.4043
211,3.4043
212,3.4268
213,3.3869
214,3.3849
215,3.355
216,3.3551
217,3.3426
218,3.3116
219,3.3017
220,3.2709
221,3.2859
222,3.2762
223,3.2662
224,3.2665
225,3.2717
226,3.299
227,3.3264
228,3.31
229,3.3125
230,3.35
231,3.31
232,3.2875
233,3.275
234,3.2751
235,3.2401
236,3.2101
237,3.21
238,3.2136
239,3.2251
240,3.2651
241,3.2601
242,3.2451
243,3.2302
244,3.2252
245,3.2302
246,3.2427
247,3.2352
248,3.2303
249,3.2453
250,3.2353
