number,money,date
1,4.3392,42887.00 
2,4.3451,42888.00 
3,4.3373,42891.00 
4,4.353,42892.00 
5,4.3443,42893.00 
6,4.3445,42894.00 
7,4.3369,42895.00 
8,4.2744,42898.00 
9,4.2532,42899.00 
10,4.2182,42900.00 
11,4.2219,42901.00 
12,4.2344,42902.00 
13,4.1645,42905.00 
14,4.1532,42906.00 
15,4.1769,42907.00 
16,4.2155,42908.00 
17,4.1894,42909.00 
18,4.162,42912.00 
19,4.148,42913.00 
20,4.1656,42914.00 
21,4.1795,42915.00 
22,4.1987,42916.00 
23,4.2252,42919.00 
24,4.2315,42920.00 
25,4.1982,42921.00 
26,4.1855,42922.00 
27,4.2021,42923.00 
28,4.2033,42926.00 
29,4.1921,42927.00 
30,4.1785,42928.00 
31,4.1672,42929.00 
32,4.1661,42930.00 
33,4.1702,42933.00 
34,4.1917,42934.00 
35,4.1875,42935.00 
36,4.1752,42936.00 
37,4.1799,42937.00 
38,4.1826,42940.00 
39,4.1951,42941.00 
40,4.2151,42942.00 
41,4.1963,42943.00 
42,4.2008,42944.00 
43,4.2277,42947.00 
44,4.2365,42948.00 
45,4.235,42949.00 
46,4.2403,42950.00 
47,4.2466,42951.00 
48,4.2962,42954.00 
49,4.3097,42955.00 
50,4.3124,42956.00 
51,4.2944,42957.00 
52,4.2705,42958.00 
53,4.2566,42961.00 
54,4.2552,42962.00 
55,4.2765,42963.00 
56,4.2688,42964.00 
57,4.2806,42965.00 
58,4.3043,42968.00 
59,4.3191,42969.00 
60,4.326,42970.00 
61,4.3441,42971.00 
62,4.3612,42972.00 
63,4.3475,42975.00 
64,4.315,42976.00 
65,4.295,42977.00 
66,4.275,42978.00 
67,4.2776,42979.00 
68,4.2963,42982.00 
69,4.32,42983.00 
70,4.298,42984.00 
71,4.2501,42985.00 
72,4.2276,42986.00 
73,4.2413,42989.00 
74,4.2426,42990.00 
75,4.2513,42991.00 
76,4.2026,42992.00 
77,4.2076,42993.00 
78,4.2276,42996.00 
79,4.2126,42997.00 
80,4.2151,42998.00 
81,4.2301,42999.00 
82,4.209,43000.00 
83,4.1935,43003.00 
84,4.2077,43004.00 
85,4.2152,43005.00 
86,4.1927,43006.00 
87,4.1902,43007.00 
88,4.1856,43008.00 
89,4.2204,43017.00 
90,4.2244,43018.00 
91,4.2266,43019.00 
92,4.2554,43020.00 
93,4.2554,43021.00 
94,4.2942,43024.00 
95,4.3316,43025.00 
96,4.3092,43026.00 
97,4.2892,43027.00 
98,4.3142,43028.00 
99,4.3092,43031.00 
100,4.3155,43032.00 
101,4.3703,43033.00 
102,4.3641,43034.00 
103,4.4077,43035.00 
104,4.4964,43038.00 
105,4.4951,43039.00 
106,4.4677,43040.00 
107,4.4926,43041.00 
108,4.4988,43042.00 
109,4.4889,43045.00 
110,4.5475,43046.00 
111,4.5526,43047.00 
112,4.565,43048.00 
113,4.5949,43049.00 
114,4.68,43052.00 
115,4.7202,43053.00 
116,4.72,43054.00 
117,4.694,43055.00 
118,4.7048,43056.00 
119,4.7251,43059.00 
120,4.7919,43060.00 
121,4.9418,43061.00 
122,4.9286,43062.00 
123,4.8201,43063.00 
124,4.8403,43066.00 
125,4.8854,43067.00 
126,4.8254,43068.00 
127,4.8155,43069.00 
128,4.8053,43070.00 
129,4.7981,43073.00 
130,4.7783,43074.00 
131,4.7697,43075.00 
132,4.7411,43076.00 
133,4.7686,43077.00 
134,4.8256,43080.00 
135,4.8604,43081.00 
136,4.853,43082.00 
137,4.8306,43083.00 
138,4.7957,43084.00 
139,4.7959,43087.00 
140,4.811,43088.00 
141,4.8335,43089.00 
142,4.8337,43090.00 
143,4.7989,43091.00 
144,4.8316,43094.00 
145,4.8515,43095.00 
146,4.8616,43096.00 
147,4.8442,43097.00 
148,4.8214,43098.00 
149,4.8714,43102.00 
150,4.8845,43103.00 
151,4.9411,43104.00 
152,4.9209,43105.00 
153,4.9301,43108.00 
154,4.9338,43109.00 
155,5.0011,43110.00 
156,5.021,43111.00 
157,5.0008,43112.00 
158,5.051,43115.00 
159,5.056,43116.00 
160,5.076,43117.00 
161,5.116,43118.00 
162,5.1257,43119.00 
163,5.0861,43122.00 
164,5.0786,43123.00 
165,5.0749,43124.00 
166,5.0614,43125.00 
167,5.0835,43126.00 
168,5.0864,43129.00 
169,5.0957,43130.00 
170,5.0693,43131.00 
171,5.0443,43132.00 
172,5.044,43133.00 
173,5.0682,43136.00 
174,5.0021,43137.00 
175,4.9822,43138.00 
176,4.9591,43139.00 
177,4.936,43140.00 
178,4.9129,43142.00 
179,4.9,43143.00 
180,4.89,43144.00 
181,4.8903,43145.00 
182,4.9151,43153.00 
183,4.8946,43154.00 
184,4.8913,43155.00 
185,4.8396,43157.00 
186,4.8151,43158.00 
