data,target
0,3.5803
1,3.5804
2,3.5529
3,3.5304
4,3.4756
5,3.4668
6,3.4955
7,3.5107
8,3.5005
9,3.5259
10,3.5432
11,3.5431
12,3.5107
13,3.5158
14,3.4858
15,3.4808
16,3.4808
17,3.4708
18,3.4409
19,3.5135
20,3.5186
21,3.5615
22,3.5614
23,3.5361
24,3.5212
25,3.5213
26,3.4812
27,3.4638
28,3.4713
29,3.4567
30,3.4568
31,3.4876
32,3.5222
33,3.5476
34,3.5525
35,3.5826
36,3.5519
37,3.5829
38,3.6141
39,3.6524
40,3.6326
41,3.63
42,3.6075
43,3.6101
44,3.6278
45,3.6303
46,3.6101
47,3.6101
48,3.5801
49,3.5751
50,3.5951
51,3.6101
52,3.6101
53,3.6101
54,3.6301
55,3.6551
56,3.6751
57,3.6551
58,3.6526
59,3.6351
60,3.6327
61,3.6452
62,3.6727
63,3.7003
64,3.6752
65,3.6754
66,3.6503
67,3.6253
68,3.6153
69,3.6104
70,3.6103
71,3.6155
72,3.6156
73,3.6156
74,3.5806
75,3.5831
76,3.5857
77,3.5757
78,3.5807
79,3.5508
80,3.5658
81,3.591
82,3.5709
83,3.5409
84,3.5409
85,3.541
86,3.5111
87,3.5161
88,3.5086
89,3.4936
90,3.5461
91,3.5312
92,3.5113
93,3.4813
94,3.4813
95,3.4763
96,3.4865
97,3.474
98,3.4218
99,3.3915
100,3.3515
101,3.3772
102,3.3771
103,3.3716
104,3.3917
105,3.3917
106,3.4151
107,3.4
108,3.37
109,3.36
110,3.355
111,3.35
112,3.305
113,3.275
114,3.2751
115,3.2853
116,3.2678
117,3.2652
118,3.2703
119,3.3311
120,3.3468
121,3.3713
122,3.3714
123,3.3412
124,3.3003
125,3.3168
126,3.3483
127,3.3113
128,3.3011
129,3.2709
130,3.2315
131,3.2265
132,3.1734
133,3.141
134,3.1513
135,3.1507
136,3.1211
137,3.1106
138,3.1006
139,3.1058
140,3.1297
141,3.1383
142,3.0745
143,3.076
144,3.091
145,3.1037
146,3.1071
147,3.119
148,3.1338
149,3.1398
