data,target
12,5134
13,5084
14,5333
15,5483
16,5683
19,6033
20,6009
21,5760
22,5660
23,5897
26,5911
27,5836
28,5749
29,5643
30,5637
33,5626
34,5851
35,5901
36,5740
37,5829
40,5769
41,5920
42,6170
43,6021
44,6034
47,6260
48,6373
49,6311
50,6262
51,6262
54,6626
55,6538
56,6600
57,6375
58,6163
61,5925
62,5801
63,5988
64,5926
65,5951
68,6181
69,6201
70,6152
71,6252
72,6327
75,6502
76,6303
77,6303
78,6265
79,6353
82,6454
83,6641
84,6554
85,6155
86,6005
89,6156
90,6181
91,6356
92,5982
93,5982
96,6220
97,6158
98,6209
99,6334
100,6209
103,5985
104,6172
105,6235
106,6136
107,6136
108,6136
117,6477
118,6470
119,6540
120,6765
121,6740
124,7054
125,7409
126,7366
127,7167
128,7217
131,7231
132,7220
133,7768
134,7769
135,8266
138,9115
139,8917
140,8630
141,8718
142,8816
145,8694
146,8813
147,8725
148,8863
149,9000
152,9500
153,9525
154,9500
155,9225
156,9200
159,9400
160,9500
161,9850
162,9851
163,9463
166,9501
167,9601
168,9101
169,8901
170,8852
173,8902
174,8752
175,8752
176,8927
177,9102
180,9303
181,9378
182,9303
183,9104
184,8904
187,8904
188,9005
189,9005
190,9005
191,8780
194,8731
195,8881
196,8956
197,8857
198,8807
202,9008
203,9162
204,9319
205,9212
208,9110
209,8909
210,9201
211,9546
212,9337
215,9650
216,9596
217,9597
218,9797
219,9754
222,9522
223,9414
224,9507
225,9435
226,9365
229,9368
230,9292
231,9140
232,9066
233,9092
236,9167
237,8825
238,8700
239,8801
240,8800
242,8775
243,8750
244,8700
245,8702
253,8752
254,8702
255,8652
257,8452
258,8201
259,8202
260,8201
261,8352
264,8453
265,8253
266,8203
267,8203
268,8278
271,8243
272,8362
273,8413
274,8257
275,8154
278,8104
279,7906
280,7630
281,7480
282,7005
285,7307
286,7432
287,7406
288,7456
289,7407
292,7357
293,7507
294,7234
298,7008
299,6959
300,7159
301,7109
302,7109
303,7062
306,6561
307,6512
308,5013
309,5064
310,5215
313,6019
314,5855
315,6118
316,6344
317,6364
318,6217
322,6665
323,6467
324,6319
327,6518
328,6922
329,7074
330,6924
331,6882
334,6937
335,7151
336,7076
337,7120
338,7099
341,6939
342,6700
343,6400
344,6501
345,6126
348,6101
349,6001
350,5976
351,6129
352,6202
355,6532
356,6602
357,6602
358,6702
359,6453
362,6502
363,6853
364,6627
365,6227
366,6028
370,5603
371,6054
372,5753
373,5604
376,5803
377,5804
378,5529
379,5304
380,4756
383,4668
384,4955
385,5107
386,5005
387,5259
390,5432
391,5431
392,5107
393,5158
394,4858
397,4808
398,4808
399,4708
400,4409
401,5135
404,5186
405,5615
406,5614
407,5361
408,5212
411,5213
412,4812
413,4638
414,4713
415,4567
418,4568
419,4876
420,5222
421,5476
422,5525
425,5826
426,5519
427,5829
428,6141
429,6524
432,6326
433,6300
434,6075
435,6101
436,6278
439,6303
440,6101
441,6101
442,5801
443,5751
446,5951
